t_host,vel_l_mmps,vel_r_mmps
9.332528709000144,165,155
9.40371583399974,165,165
9.475048041999798,185,185
9.55289591700057,205,175
9.618776834000528,202,202
9.691454625000006,202,202
9.76447379199999,202,211
9.833438667000337,202,212
9.911109667000346,202,218
9.979504375000033,205,212
10.05276695900011,202,185
10.125228709000112,211,218
10.194283917000575,202,182
10.26865991700015,202,202
10.342515625000487,202,192
10.41166612500001,192,192
10.49165395900036,212,211
10.558610709000277,195,192
10.631194624999807,192,175
10.70172575000015,205,201
10.77475937500003,192,202
10.846725334000439,202,221
10.917404583999996,202,192
10.987517667000247,202,192
11.059301584000423,192,202
11.131876500000544,192,202
11.208547959000498,208,202
11.27823562499998,212,202
11.347380500000327,192,192
11.41954050000004,202,202
11.491982999999891,202,195
11.564444667000316,202,221
11.634573000000273,202,202
11.709450000000288,202,211
11.781263834000129,185,185
11.867424000000028,175,211
11.92730233400016,172,155
11.99522079200051,139,149
12.066446959000132,129,112
12.142801209000027,102,99
12.209560750000492,89,73
12.288469834000352,53,73
12.354117667000537,53,36
12.42531712500022,46,36
12.499355459000071,10,30
12.574366750000081,17,0
12.645682584000497,0,0
12.715213542000129,10,0
12.787075959000504,0,0
12.859868459000609,0,0
12.930232792000425,0,0
13.004907500000627,0,0
13.074378541999977,0,0
13.162465999999768,0,0
13.220616874999905,0,0
13.292650250000406,0,0
13.366152749999856,0,17
13.436935749999975,0,26
13.509874000000309,0,30
13.579663000000437,-3,56
13.683354417000373,-53,76
13.726897583999744,-73,89
13.795583334000185,-93,92
13.871322125000006,-109,83
13.94239912500052,-93,92
14.01251025000056,-93,99
14.084406709000177,-83,83
14.17019879200052,-93,93
14.232168500000625,-102,83
14.29903595900032,-93,83
14.374030750000202,-83,83
14.4412743339999,-46,56
14.523808584000108,-46,46
14.587920959000257,-36,36
14.662602958999742,-20,43
14.73004520900031,-20,0
14.80326816700017,-20,0
14.881125709000116,-7,0
14.975999459000377,0,0
15.02409579200048,0,0
15.095470875000501,0,0
15.16115387500031,0,0
15.237779959000363,-10,0
15.321084500000325,0,0
15.377951958999802,0,10
15.450935458999993,0,0
15.52099866700064,0,0
15.595047792000514,0,0
15.667328334000558,0,40
15.736901416999899,36,76
15.815267124999991,73,73
15.884272667000005,122,112
15.958186584000032,139,146
16.027129750000313,165,165
16.099036125000566,185,185
16.17030162500032,185,182
16.24200320900036,202,201
16.315157875000295,221,202
16.39468725000006,211,212
16.464786833999824,202,221
16.533005125000273,205,211
16.603406375000304,192,195
16.679929709000135,201,212
16.745937499999854,202,182
16.820810291999805,202,195
16.891833042000144,202,202
16.965225167000426,202,192
17.034332042000642,195,192
17.107240584000465,195,192
17.181039292000605,192,212
17.252847333999853,202,218
17.326705625000614,205,202
17.395864916999926,202,195
17.467229709000094,202,202
17.540174875000048,211,202
17.61300066700005,191,185
17.681895917000475,212,192
17.76284187500005,205,175
17.826388584000597,192,202
17.900009083999976,202,182
17.97424883399981,202,185
18.043387917000473,195,202
18.114997458999824,202,212
18.185960417000388,192,175
18.259227958999872,192,205
18.32981637500052,205,201
18.410002583999812,192,195
18.47678087500026,202,195
18.547984499999984,201,202
18.620246167000005,192,211
18.692077749999953,202,221
18.767228624999916,212,202
18.832700334000037,202,202
