1787958517.369 >>> HELLO
1787958517.391 device NEZHA2 robot vevov 1198504156
1787958518.399 >>> VER
1787958518.411 ver 0.20260827.2
1787958519.419 >>> STATUS
1787958519.444 status ready=0 active=0 connL=0 connR=0 otos=1 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787958520.449 >>> GET max_duty #1
1787958520.467 ack 1 0 none
1787958520.467 get max_duty 100.000008
1787958521.472 >>> GET full_duty_velocity #2
1787958521.490 ack 2 0 none
1787958521.492 get full_duty_velocity 10795.000977
1787958522.500 >>> GET pid_kp #3
1787958522.515 ack 3 0 none
1787958522.515 get pid_kp 0.000000
1787958523.522 >>> GET pid_ki #4
1787958523.541 ack 4 0 none
1787958523.541 get pid_ki 6.000000
1787958524.548 >>> GET pid_i_max #5
1787958524.563 ack 5 0 none
1787958524.563 get pid_i_max 765.600037
1787958525.567 >>> GET pid_max #6
1787958525.579 ack 6 0 none
1787958525.579 get pid_max 1276.000000
1787958526.591 >>> GET twist_hold_gain #7
1787958526.611 ack 7 0 none
1787958526.611 get twist_hold_gain 2.000000
1787958527.619 >>> TLM FULL #8
1787958527.637 ack 8 0 none
1787958527.675 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958532.495 t 83 356583 31 36 443 11203 52 0 -103 680 729 0 47 5858 9477 10000 10000 0 0 0
1787958532.566 t 84 356655 31 16 490 11314 52 0 -103 683 720 0 50 6561 10216 10000 10000 0 0 0
1787958532.639 t 85 356727 31 -4 536 11463 52 0 -103 689 729 0 53 7263 10966 10000 10000 0 0 0
1787958532.711 t 86 356799 31 -26 582 11556 52 0 -103 699 712 0 56 7972 11705 10000 10000 0 0 0
1787958532.790 t 87 356871 31 -48 629 11701 52 0 -103 680 721 0 59 8683 12463 10000 10000 0 0 0
1787958532.859 t 88 356943 31 -72 674 11822 52 0 -103 680 736 0 62 9394 13213 10000 10000 0 0 0
1787958532.927 t 89 357015 31 -96 719 11918 52 0 -103 689 722 0 65 10108 13958 10000 10000 0 0 0
1787958533.001 t 90 357087 31 -122 764 12045 52 0 -103 697 730 0 68 10825 14716 10000 10000 0 0 0
1787958533.071 t 91 357159 31 -148 808 12159 52 0 -103 695 730 0 71 11538 15466 10000 10000 0 0 0
1787958533.149 t 92 357231 31 -175 852 12261 52 0 -103 698 715 0 74 12261 16222 10000 10000 0 0 0
1787958533.219 t 93 357303 31 -203 895 12367 52 0 -103 707 739 0 77 12980 16975 10000 10000 0 0 0
1787958533.288 t 94 357375 31 -232 938 12450 52 0 -103 698 730 0 80 13700 17722 10000 10000 0 0 0
1787958533.359 t 95 357447 31 -262 980 12571 52 0 -103 705 739 0 83 14422 18483 10000 10000 0 0 0
1787958533.433 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958533.441 t 96 357519 31 -292 1022 12648 52 0 -103 706 730 0 86 15150 19236 10000 10000 0 0 0
1787958533.509 t 97 357591 31 -323 1064 12744 52 0 -103 681 731 0 89 15877 19994 10000 10000 0 0 0
1787958533.575 t 98 357663 31 -355 1105 12794 52 0 -103 698 730 0 92 16611 20744 10000 10000 0 0 0
1787958533.647 t 99 357735 31 -387 1146 12865 52 0 -103 721 730 0 95 17341 21497 10000 10000 0 0 0
1787958533.722 t 100 357807 31 -420 1187 12995 52 0 -103 704 748 0 98 18066 22264 10000 10000 0 0 0
1787958533.792 t 101 357879 31 -453 1227 13051 52 0 -103 715 730 0 101 18800 23016 10000 10000 0 0 0
1787958533.864 t 102 357951 31 -487 1266 13137 52 0 -103 712 730 0 104 19533 23777 10000 10000 0 0 0
1787958533.938 t 103 358023 31 -522 1305 13209 52 0 -103 704 730 0 107 20266 24533 10000 10000 0 0 0
1787958534.011 t 104 358095 31 -557 1344 13258 52 0 -103 716 721 0 110 21000 25283 10000 10000 0 0 0
1787958534.087 t 105 358167 31 -593 1382 13370 52 0 -103 707 735 0 113 21733 26052 10000 10000 0 0 0
1787958534.154 t 106 358239 31 -629 1420 13413 52 0 -103 715 730 0 116 22472 26805 10000 10000 0 0 0
1787958534.227 t 107 358311 31 -666 1458 13518 52 0 -103 712 739 0 119 23205 27572 10000 10000 0 0 0
1787958534.300 t 108 358383 31 -703 1495 13552 52 0 -103 712 739 0 122 23944 28322 10000 10000 0 0 0
1787958534.368 t 109 358455 31 -740 1531 13623 52 0 -103 713 747 0 125 24677 29078 10000 10000 0 0 0
1787958534.448 t 110 358527 31 -778 1567 13732 52 0 -103 715 747 0 128 25411 29847 10000 10000 0 0 0
1787958534.511 t 111 358599 31 -817 1603 13809 52 0 -103 716 753 0 131 26150 30611 10000 10000 0 0 0
1787958534.585 t 112 358671 31 -856 1638 13853 52 0 -103 721 729 0 134 26891 31366 10000 10000 0 0 0
1787958534.669 t 113 358743 31 -895 1673 13877 52 0 -103 706 730 0 137 27639 32122 10000 10000 0 0 0
1787958534.735 t 114 358815 31 -935 1708 13939 52 0 -103 721 746 0 140 28380 32883 10000 10000 0 0 0
1787958534.805 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958534.809 t 115 358887 31 -975 1742 14035 52 0 -103 712 730 0 143 29116 33650 10000 10000 0 0 0
1787958534.871 t 116 358959 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958534.928 t 117 359015 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958534.985 t 118 359071 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.045 t 119 359127 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.102 t 120 359183 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.153 t 121 359239 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.212 t 122 359295 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.272 t 123 359351 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
