1788576564.628 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=28 cyc=194 tlm=off next=6 done=4 reason=stop
1788576564.950 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=199 tlm=off next=6 done=4 reason=stop
1788576565.306 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576565.306 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576565.533 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576565.761 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576565.987 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576566.210 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576566.433 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576566.665 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576566.894 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576567.126 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576567.356 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576567.588 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576567.823 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=214 tlm=off next=6 done=5 reason=stop
1788576567.823 ack 6 5 stop
1788576567.887 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=223 tlm=off next=7 done=5 reason=stop
1788576568.004 DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
1788576568.004 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=229 tlm=off next=7 done=5 reason=stop
1788576568.315 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576568.542 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576568.764 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576568.992 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576569.221 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576569.444 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576569.668 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576569.895 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576570.139 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576570.364 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576570.589 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576570.812 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.040 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.272 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.508 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.737 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.788 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=236 tlm=off next=7 done=6 reason=stop
1788576571.788 ack 7 6 stop
1788576572.112 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=240 tlm=off next=8 done=6 reason=stop
1788576572.162 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=251 tlm=off next=8 done=6 reason=stop
1788576572.296 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576572.600 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576572.826 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576573.062 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576573.291 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576573.521 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576573.762 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576573.989 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576574.218 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576574.454 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576574.680 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576574.912 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576575.140 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
