RUN:clearestop -> ESTOP:cleared
STATUS pre: status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=118 cyc=5966 tlm=off next=1 done=10 reason=timeout
GET accel -> ack 1 10 timeout
--- rep 1: pose before (19.05,-5.28,48.45) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 2 10 timeout
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 15 3404419 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 16 3404475 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 17 3404531 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 18 3404587 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 19 3404643 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 20 3404699 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 21 3404755 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 22 3404811 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 23 3404867 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
t 24 3404923 31 -93 -126 104733 165 28 8752 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 25 3404979 31 -93 -126 104733 165 28 8753 0 0 123 6040 -15934 11900 0 0 0 0 0
ack 4 3 timeout
pose after (36.76,12.66,48.16) -- dist 25.21 cm
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 5 3 timeout
pose after reverse (20.60,-6.20,49.01)
--- rep 2: pose before (20.59,-6.19,48.80) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 6 5 timeout
t 26 3427047 31 -304 3 104805 169 272 8892 0 0 125 6375 -19092 8761 0 0 0 0 0
t 27 3427103 31 -304 3 104805 169 272 8892 0 0 125 6375 -19092 8761 0 0 0 0 0
t 28 3427159 31 -304 3 104805 169 272 8892 0 0 125 6375 -19092 8761 0 0 0 0 0
t 29 3427215 31 -304 3 104805 169 272 8892 0 0 125 6375 -19092 8761 0 0 0 0 0
t 30 3427271 31 -304 3 104805 169 272 8892 0 0 125 6375 -19092 8761 0 0 0 0 0
t 31 3427327 31 -304 3 104805 169 272 8893 0 0 125 6375 -19092 8761 0 0 0 0 0
t 32 3427383 31 -304 3 104805 169 272 8893 0 0 125 6375 -19092 8761 0 0 0 0 0
t 33 3427439 31 -304 3 104805 169 272 8893 0 0 125 6375 -19092 8761 0 0 0 0 0
t 34 3427495 31 -304 3 104805 169 272 8893 0 0 125 6375 -19092 8761 0 0 0 0 0
TLM FULL #6 ack seen: True
t 35 3427551 31 -304 3 104805 169 272 8893 0 0 125 6375 -19092 8761 0 0 0 0 0
ack 7 5 timeout
t 36 3427603 31 -304 3 104805 169 272 8893 0 0 125 6376 -19092 8761 0 0 0 0 0
t 37 3427675 31 -304 2 104775 169 272 8893 26 0 125 6379 -19084 8761 400 400 0 0 0
t 38 3427747 31 -304 2 104741 169 272 8892 10 0 128 6382 -19075 8761 800 900 0 0 0
t 39 3427819 31 -303 2 104677 169 272 8892 36 3 130 6385 -19053 8766 1400 1300 0 0 0
t 40 3427891 31 -300 0 104594 169 270 8750 76 46 130 6388 -18997 8800 1900 2100 0 0 0
t 41 3427963 31 -294 -4 104530 169 263 8521 118 108 130 6391 -18903 8877 2100 2700 0 0 0
t 42 3428035 31 -286 -10 104470 169 263 8521 164 148 130 6394 -18764 9000 2300 3000 0 0 0
t 43 3428107 31 -276 -17 104459 167 247 8457 194 200 130 6397 -18600 9161 2600 3500 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 44 3428179 31 -264 -26 104511 165 226 8476 200 220 130 6400 -18425 9350 2600 3300 0 0 0
t 45 3428251 31 -251 -34 104541 165 226 8476 189 228 130 6403 -18236 9547 2400 3400 0 0 0
t 46 3428323 31 -239 -43 104583 163 203 8517 200 210 130 6406 -18053 9741 2400 3200 0 0 0
t 47 3428395 31 -227 -51 104636 163 203 8517 210 216 130 6409 -17867 9941 2300 3200 0 0 0
t 48 3428467 31 -215 -59 104711 160 181 8643 190 210 130 6412 -17695 10133 2400 3200 0 0 0
t 49 3428539 31 -202 -67 104752 158 159 8743 200 210 130 6415 -17517 10322 2400 3100 0 0 0
t 50 3428611 31 -190 -75 104775 158 159 8743 200 200 130 6418 -17334 10511 2400 3100 0 0 0
t 51 3428683 31 -178 -82 104816 157 137 8776 181 210 130 6421 -17159 10697 2500 3100 0 0 0
t 52 3428755 31 -166 -90 104801 156 116 8806 200 200 130 6424 -16975 10877 2400 3000 0 0 0
t 53 3428827 31 -154 -98 104835 156 116 8806 204 210 130 6427 -16797 11064 2600 3000 0 0 0
t 54 3428899 31 -141 -105 104805 155 95 8820 200 190 130 6430 -16609 11244 2500 3000 0 0 0
t 55 3428971 31 -129 -113 104816 154 74 8772 200 210 130 6433 -16431 11425 2500 3000 0 0 0
t 56 3429043 31 -117 -120 104801 154 74 8772 204 200 130 6436 -16247 11605 2500 3000 0 0 0
t 57 3429260 31 -95 -134 104858 151 34 8865 0 0 130 6449 -15931 11936 0 0 0 0 0
t 58 3429315 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
t 59 3429371 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
t 60 3429427 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
