1787956216.602 >>> HELLO
1787956216.636 device NEZHA2 robot gopiv 2175407711
1787956217.660 >>> VER
1787956217.696 ver 0.20260827.2
1787956218.708 >>> STATUS
1787956218.735 status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787956219.744 >>> TLM POSE #1
1787956219.798 ack 1 0 none
1787956219.809 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956232.004 t 86 902877 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.059 t 87 902927 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.108 t 88 902981 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.165 t 89 903031 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.214 t 90 903085 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.267 t 91 903135 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.317 t 92 903189 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.371 t 93 903239 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.420 >>> WHEELS_V -2000 -2000 3000 #4
1787956232.422 t 94 903293 31 2010 -814 -4056 0 0 0 785 738 0
1787956232.433 ack 4 3 timeout
1787956232.488 t 95 903361 31 2135 -944 -5163 0 0 0 -39 -31 0
1787956232.561 t 96 903433 31 2120 -926 -4944 0 0 0 -509 -431 0
1787956232.634 t 97 903505 31 2090 -893 -4628 0 0 0 -703 -610 0
1787956232.704 t 98 903577 31 2055 -858 -4455 0 0 0 -719 -702 0
1787956232.779 t 99 903649 31 2018 -821 -4474 0 0 0 -729 -748 0
1787956232.849 t 100 903721 31 1980 -784 -4497 0 0 0 -748 -768 0
1787956232.921 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956232.923 t 101 903793 31 1942 -746 -4440 0 0 0 -748 -729 0
1787956232.993 t 102 903865 31 1903 -710 -4369 0 0 0 -739 -729 0
1787956233.072 t 103 903937 31 1864 -673 -4350 0 0 0 -748 -748 0
1787956233.135 t 104 904009 31 1826 -636 -4369 0 0 0 -739 -739 0
1787956233.209 t 105 904081 31 1787 -599 -4369 0 0 0 -755 -745 0
1787956233.291 t 106 904153 31 1748 -562 -4338 0 0 0 -755 -739 0
1787956233.352 t 107 904225 31 1709 -525 -4263 0 0 0 -739 -729 0
1787956233.426 t 108 904297 31 1669 -489 -4244 0 0 0 -748 -748 0
1787956233.498 t 109 904369 31 1629 -453 -4267 0 0 0 -751 -758 0
1787956233.570 t 110 904441 31 1589 -416 -4282 0 0 0 -748 -754 0
1787956233.641 t 111 904513 31 1550 -379 -4275 0 0 0 -758 -739 0
1787956233.714 t 112 904585 31 1510 -343 -4222 0 0 0 -768 -738 0
1787956233.786 t 113 904657 31 1470 -308 -4203 0 0 0 -748 -748 0
1787956233.859 t 114 904729 31 1430 -272 -4203 0 0 0 -745 -749 0
1787956233.929 t 115 904801 31 1390 -235 -4244 0 0 0 -748 -768 0
1787956234.007 t 116 904873 31 1350 -199 -4222 0 0 0 -748 -748 0
