t_host,vl_mmps,vr_mmps
55.958,0,0
56.030,0,0
56.176,0,0
56.389,0,0
56.462,0,0
56.534,0,0
56.678,0,0
56.755,0,0
56.833,0,0
56.895,0,0
56.970,0,0
57.041,0,0
57.127,0,0
57.166,0,0
57.283,0,0
57.337,0,0
57.391,0,0
57.446,0,0
57.508,0,0
57.558,0,0
57.615,0,0
57.674,0,0
57.839,0,0
57.898,0,0
57.957,0,0
58.007,0,0
58.062,0,0
58.132,0,0
58.176,0,0
58.230,0,0
58.290,0,0
58.345,0,0
58.454,0,0
58.510,0,0
58.567,0,0
58.621,0,0
58.682,0,0
58.733,0,0
58.846,0,0
58.905,0,0
59.018,0,0
59.076,0,0
59.125,0,0
59.183,0,0
59.267,0,0
59.299,0,0
59.353,0,0
59.405,0,0
59.462,0,0
59.519,0,0
59.633,0,0
59.691,0,0
59.743,0,0
59.816,0,0
59.863,0,0
59.911,0,0
59.965,0,0
60.026,0,0
60.078,0,0
60.135,0,0
60.246,0,0
60.307,0,0
60.359,0,0
60.415,0,0
60.474,0,0
60.526,0,0
60.590,0,0
60.638,0,0
60.699,0,0
60.750,0,0
60.863,0,0
60.921,0,0
60.976,0,0
61.030,0,0
61.091,0,0
61.142,0,0
61.199,0,0
61.254,0,0
61.311,0,0
61.425,0,0
61.477,0,0
61.540,0,0
61.591,0,0
61.646,0,0
61.703,0,0
61.758,0,0
61.814,0,0
61.870,0,0
61.936,0,0
62.098,0,0
62.155,0,0
62.206,0,0
62.270,0,0
62.329,0,0
62.373,0,0
62.501,0,0
62.543,0,0
62.598,0,0
62.661,0,0
62.714,0,0
62.780,0,0
62.822,0,0
62.937,0,0
62.991,0,0
63.047,0,0
63.103,0,0
63.218,0,0
63.270,0,0
63.327,0,0
63.387,0,0
63.438,0,0
63.549,0,0
63.606,0,0
63.661,0,0
63.719,0,0
63.831,0,0
63.890,0,0
63.942,0,0
64.005,0,0
64.053,0,0
64.112,0,0
64.188,0,0
64.223,0,0
64.284,0,0
64.336,0,0
64.391,0,0
64.446,0,0
64.505,0,0
64.557,0,0
64.614,0,0
64.671,0,0
64.725,0,0
64.786,0,0
64.838,0,0
64.916,0,0
65.061,0,0
65.119,0,0
65.175,0,0
65.229,0,0
65.286,0,0
65.346,0,0
65.401,0,0
65.458,0,0
65.520,0,0
65.621,0,0
65.678,0,0
65.739,0,0
65.790,0,0
65.849,0,0
65.916,0,0
65.986,18,50
66.058,24,33
66.213,80,83
66.277,107,125
66.346,148,131
66.423,133,148
66.495,133,133
66.568,131,131
66.640,134,122
66.705,116,125
66.777,116,107
66.851,113,122
66.936,116,140
66.998,125,116
67.072,125,122
67.142,125,130
67.212,107,116
67.283,131,116
67.365,125,113
67.432,131,122
67.498,125,125
67.558,107,116
67.621,116,125
67.701,116,116
67.768,116,122
67.834,113,131
67.910,134,116
67.978,107,125
68.063,110,122
68.125,125,122
68.194,116,116
68.244,107,131
68.314,116,116
68.387,116,107
68.468,125,116
68.532,116,116
68.615,113,116
68.678,116,125
68.751,116,122
68.825,116,131
68.963,110,116
69.034,116,116
69.105,113,131
69.178,125,116
69.324,116,125
69.394,116,130
69.465,125,134
69.525,116,134
69.588,125,125
69.659,116,140
69.740,113,116
69.802,125,107
69.873,125,131
69.946,116,133
70.090,125,116
70.161,125,116
70.348,116,133
70.459,125,125
70.541,116,116
70.598,130,116
70.667,125,107
70.811,107,107
70.885,113,116
71.030,47,50
71.097,18,42
71.170,33,0
71.261,0,15
71.314,9,36
71.386,6,24
71.476,0,0
71.527,0,0
71.603,0,0
71.680,0,0
71.741,0,0
71.818,0,0
71.891,0,0
71.973,0,0
72.034,0,0
72.254,0,0
72.319,0,0
72.397,0,0
72.461,0,0
72.534,0,0
72.608,0,0
72.751,0,0
72.826,0,0
72.893,0,0
72.975,0,0
73.039,0,0
73.115,0,0
73.182,0,0
73.253,0,0
73.331,0,0
73.543,0,0
73.614,0,0
73.687,0,0
73.830,0,0
73.902,0,0
74.004,0,0
74.150,0,0
74.189,0,0
74.264,0,0
74.335,0,0
74.406,0,0
74.464,0,0
74.515,0,0
74.565,0,0
74.626,0,0
74.744,0,0
74.789,0,0
74.848,0,0
74.911,0,0
74.957,0,0
75.017,0,0
75.069,0,0
75.130,0,0
75.177,0,0
75.250,-24,18
75.322,-6,27
75.477,-74,92
75.539,-122,116
75.610,-139,157
75.681,-148,157
75.834,-131,131
75.898,-125,125
75.977,-116,116
76.044,-116,116
76.195,-80,74
76.389,0,0
76.469,0,0
76.534,0,0
76.606,0,0
76.749,0,0
76.824,0,0
76.894,0,0
76.951,0,0
77.002,0,0
77.054,0,0
77.113,0,0
